,genre_ids,ids,popularity,release_date,release_year,title,vote_average
130,18,334532,1.913483,2016-11-11,2016,100 Streets,6.1
131,18,415665,1.906294,2016-10-13,2016,1:54,7.2
132,18,334522,1.901431,2016-10-13,2016,Alone in Berlin,6.3
133,18,315880,1.90138,2016-01-14,2016,The Correspondence,6.0
134,18,360365,1.883948,2016-05-04,2016,Tini: The New Life of Violetta,6.4
135,18,403348,1.8805,2016-11-03,2016,Welcome to the Hartmanns,6.8
136,18,174751,1.879632,2016-01-01,2016,Jane Got a Gun,5.2
137,18,332872,1.873966,2016-04-08,2016,Julieta,6.8
138,18,429450,1.850322,2016-12-07,2016,Pandora,6.8
139,18,283591,1.846426,2016-11-04,2016,The Secret Scripture,3.0
140,18,374671,1.84321,2016-05-21,2016,After the Storm,7.5
141,18,364433,1.839305,2016-02-25,2016,They Call Me Jeeg Robot,7.6
142,18,332411,1.837554,2016-04-14,2016,I Am Wrath,4.2
143,18,373314,1.835893,2016-02-05,2016,Misconduct,5.2
144,18,257440,1.823131,2016-04-29,2016,Term Life,5.8
145,18,354979,1.819981,2016-11-04,2016,Dog Eat Dog,4.9
146,18,379170,1.814017,2016-01-01,2016,Sherlock: The Abominable Bride,7.9
147,18,390497,1.804445,2016-08-10,2016,Tunnel,7.2
148,18,283378,1.79455,2016-11-10,2016,Fallen,6.0
149,18,337154,1.785069,2016-04-05,2016,The Meddler,5.8
150,18,308453,1.779305,2016-01-22,2016,The Bronze,5.5
151,18,316021,1.776732,2016-12-09,2016,Frank & Lola,6.1
152,18,328429,1.766612,2016-06-03,2016,Approaching the Unknown,5.1
153,18,413471,1.764559,2016-10-07,2016,The Late Bloomer,5.0
154,18,402298,1.763628,2016-09-30,2016,Denial,6.3
155,18,333386,1.761573,2016-06-24,2016,The Duel,5.4
156,18,336011,1.75244,2016-08-26,2016,White Girl,5.3
157,18,308529,1.747406,2016-07-14,2016,Kickboxer: Vengeance,4.5
158,18,419590,1.743654,2016-08-23,2016,The Love Machine,0.0
159,18,384664,1.74358,2016-09-15,2016,Goodbye Berlin,7.2
160,18,374458,1.739309,2016-05-20,2016,Graduation,6.9
161,18,311667,1.736743,2016-05-20,2016,Manhattan Night,6.1
162,18,402693,1.72879,2016-11-04,2016,100 Meters,7.9
163,18,277710,1.728515,2016-01-08,2016,Anesthesia,6.0
164,18,348677,1.718858,2016-02-11,2016,The Model,5.8
165,18,373889,1.713005,2016-02-25,2016,The Most Beautiful Day,6.9
166,18,353326,1.701366,2016-04-08,2016,The Man Who Knew Infinity,7.0
167,18,374464,1.700651,2016-11-16,2016,Planetarium,3.6
