,title,id,release_date,popularity,genre_ids
123,Straight Outta Compton,277216,2015-08-13,6.330027,"[18, 10402]"
124,The Hateful Eight,273248,2015-12-25,6.278153,"[80, 18, 9648, 37]"
125,Taken 3,260346,2015-01-01,6.104095,[28]
126,Ted 2,214756,2015-06-25,5.955721,[35]
127,Southpaw,307081,2015-06-15,5.661634,"[28, 18]"
128,Fifty Shades of Grey,216015,2015-02-11,5.635376,"[18, 10749, 53]"
129,Pitch Perfect 2,254470,2015-05-07,5.417651,"[35, 10402]"
130,Spotlight,314365,2015-11-06,5.323347,"[18, 53, 36]"
131,Maze Runner: The Scorch Trials,294254,2015-09-09,5.254917,[28]
132,Wild Card,265208,2015-01-14,5.034597,"[53, 80, 18]"
133,Mortdecai,210860,2015-01-21,4.948148,"[35, 12]"
134,Spy,238713,2015-05-06,4.647002,"[28, 35, 80]"
135,Run All Night,241554,2015-03-11,4.517351,"[28, 80, 18, 9648, 53]"
136,Mr. Holmes,280996,2015-06-19,4.505037,"[18, 9648]"
137,Paper Towns,286565,2015-06-18,4.468566,"[18, 9648, 10749]"
138,Trainwreck,271718,2015-07-17,4.46554,[35]
139,Blackhat,201088,2015-01-13,4.458128,"[9648, 80, 28, 53, 18]"
140,Home,228161,2015-03-18,4.357434,"[14, 35, 16, 878, 10751]"
141,The Man from U.N.C.L.E.,203801,2015-08-13,4.313246,"[35, 28, 12]"
142,The DUFF,272693,2015-02-20,4.196049,"[10749, 35]"
143,Room,264644,2015-10-16,4.186683,"[18, 53]"
144,Sicario,273481,2015-09-17,4.163015,"[28, 80, 18, 9648, 53]"
145,The Big Short,318846,2015-12-11,4.153569,"[35, 18]"
146,Focus,256591,2015-02-25,4.050875,"[10749, 35, 80, 18]"
147,Hotel Transylvania 2,159824,2015-09-21,3.985315,"[16, 35, 10751]"
148,Truth,300693,2015-09-12,3.971393,[18]
149,The Witch,310131,2015-03-24,3.94196,"[9648, 27]"
150,The Peanuts Movie,227973,2015-11-05,3.898455,[16]
151,The Good Dinosaur,105864,2015-11-14,3.874601,"[12, 16, 10751]"
152,Everest,253412,2015-09-10,3.79755,"[12, 18]"
153,The Walk,285783,2015-09-30,3.772494,"[12, 18, 53]"
154,Mojin: The Lost Legend,299824,2015-12-18,3.762328,"[12, 28, 14]"
155,Self/less,238615,2015-07-10,3.715509,"[878, 9648, 53]"
156,The Age of Adaline,293863,2015-04-16,3.676265,"[14, 18, 10749]"
157,Hardcore Henry,325348,2015-09-12,3.612779,"[28, 12, 878]"
158,Creed,312221,2015-11-25,3.604455,[18]
159,The Last Witch Hunter,274854,2015-10-21,3.55741,"[14, 28, 12]"
160,Crimson Peak,201085,2015-10-13,3.554013,"[9648, 53, 14, 27, 18]"
161,Hitman: Agent 47,249070,2015-08-20,3.521702,"[28, 80, 53]"
162,Maggie,287424,2015-05-08,3.463159,[27]
163,Joy,274479,2015-12-24,3.437838,"[18, 35]"
164,Bridge of Spies,296098,2015-10-15,3.436397,"[53, 18]"
165,The Intern,257211,2015-09-24,3.422676,[35]
166,Poltergeist,243688,2015-05-20,3.403003,"[27, 53]"
167,The Wedding Ringer,252838,2015-01-16,3.386918,[35]
