,genre_ids,ids,popularity,release_date,title,vote_average
218,0,440207,1.153759,2016-08-12,We All Fall Down,10.0
219,10402,431939,1.03222,2016-12-02,Franck Carducci Tearing The Tour Apart,10.0
220,16,401043,1.123047,2016-09-03,Kuroko no Basket Movie 1: Winter Cup Soushuuhen - Kage to Hikari,10.0
221,28,403304,1.038921,2016-05-16,Rain,10.0
222,18,402206,1.008345,2016-06-12,Embedded,10.0
223,99,404503,1.032775,2016-06-03,Free CeCe,10.0
224,35,400423,1.007004,2016-04-26,Gedesoriënteerde man komt boekhandel/café/slaapkamer binnen,10.0
225,80,391632,1.035397,2016-03-10,Late Shift,10.0
226,99,402241,1.0123,2016-06-13,In Bloom,10.0
227,99,395836,1.005991,2016-02-16,Ants on a Shrimp,10.0
228,18,419253,1.013263,2016-10-03,Rubber Ducky,10.0
229,0,429828,1.027644,2016-06-23,Sneakers,10.0
230,18,419298,1.030816,2016-10-03,The Intestine,10.0
231,0,433361,1.013401,2016-07-07,Galinha Pintadinha – 10 Anos,10.0
232,99,429805,1.027197,2016-11-19,The Grown-Ups,10.0
233,12,434912,1.007865,2016-01-01,South to Sian,10.0
234,99,429864,1.065379,2016-11-23,Qu'est-ce qu'on attend ?,10.0
235,28,433969,1.030127,2016-10-01,Abducted Love,10.0
236,10402,426363,1.016353,2016-08-20,Fall Out Boy: The Boys of Zummer Tour Live in Chicago,10.0
237,16,429598,1.102117,2016-12-09,Duck the Halls: A Mickey Mouse Christmas Special,10.0
238,27,416883,1.008109,2016-01-08,Hood Streetz: Yowg Gangs,10.0
239,14,433800,1.017358,2016-08-26,Ralph,10.0
240,35,429625,1.032424,2016-12-10,Anders Matthesen: Shhh,10.0
241,35,433230,1.010613,2016-01-29,11a,10.0
242,0,380045,1.00598,2016-01-05,Trailer Trauma,10.0
243,99,390191,1.007413,2016-03-30,Power Line,10.0
244,27,378362,1.01548,2016-01-19,Mad God: Part 2,10.0
245,10749,382814,1.192995,2016-11-02,Little Mermaid,10.0
246,0,383519,1.007941,2016-01-14,Arch Enemy: War Eternal Tour - Tokyo Sacrifice,10.0
247,99,382194,1.045579,2016-02-10,How to Die: Simon's Choice,10.0
248,28,381934,1.008691,2016-02-05,Rage On Stage,10.0
249,99,382580,1.006472,2016-02-09,Holot Nodedim,10.0
250,18,444694,1.010373,2016-04-21,Limitless,10.0
251,28,444371,1.017244,2016-08-02,The Last Box,10.0
252,0,440207,1.153759,2016-08-12,We All Fall Down,10.0
253,18,450244,1.16344,2016-06-16,THE WORLD OF US,10.0
254,0,444226,1.012334,2016-06-17,Be 5 Min. Vedę,10.0
255,0,450573,1.3085,2016-09-17,On Edge,10.0
256,28,436022,1.05112,2016-10-01,Cutey Honey: Tears,10.0
257,18,441325,1.009131,2016-03-01,Tanz der Zuckerfee,10.0
258,10402,450202,1.1616,2016-09-27,Britney Spears: Apple Music Festival,10.0
259,99,440891,1.048788,2016-11-30,Parole de King !,10.0
260,80,354864,1.075933,2016-02-13,Everlasting,10.0
261,28,398892,1.005472,2016-01-29,Viraat,10.0
262,18,414293,1.007187,2016-04-21,Marital Rape Is Real,10.0
263,99,403075,1.023421,2016-05-10,Me BaEsh VeMe BaHerev,10.0
264,18,401115,1.011702,2016-06-07,Joe Woke Up at 6AM on a Monday,10.0
265,18,408262,1.021922,2016-08-12,Bangkok Nites,10.0
266,18,410524,1.011022,2016-08-12,Sole Proprietor,10.0
267,99,397070,1.007014,2016-04-29,"Music, Blood and Spirit",10.0
268,28,408858,1.005145,2016-02-25,Monkey Twins,10.0
269,10749,403593,1.031165,2016-08-05,Bazodee,10.0
270,10752,410650,1.015456,2016-08-11,LAsjkar Di Tapal Batas,10.0
271,99,399437,1.00838,2016-05-17,Zoo Quest in Colour,10.0
272,99,411012,1.079933,2016-09-09,Chasing Trane: The John Coltrane Documentary,10.0
273,35,414693,1.019229,2016-09-23,Wah Taj!,10.0
274,18,408382,1.015389,2016-08-09,"Solo, Solitude",10.0
275,27,386808,1.006978,2016-03-07,Last Warning,10.0
276,27,401558,1.011077,2016-06-10,Footsteps,10.0
277,35,399633,1.008595,2016-02-14,Satan Moves to the Suburbs,10.0
278,0,390416,1.005727,2016-02-16,Reluctantly Queer,10.0
279,35,415863,1.019371,2016-09-17,Ugly,10.0
280,18,432377,1.008973,2016-02-25,Truth,10.0
281,18,432380,1.008573,2016-02-11,Don't,10.0
282,18,432391,1.007929,2016-01-08,Never Ever Say Never Ever,10.0
283,18,432397,1.007949,2016-01-13,"January 13, 2016",10.0
284,35,427052,1.050318,2016-11-21,Romesh Ranganathan: Irrational Live,10.0
285,18,432404,1.019169,2016-01-16,Listlessness,10.0
286,18,432407,1.008154,2016-01-19,Unknowable,10.0
287,18,432410,1.012539,2016-01-30,Eternal Funeral,10.0
288,18,432412,1.008359,2016-01-31,Cyclical,10.0
289,99,429529,1.031746,2016-12-07,Homeopatia,10.0
290,28,429138,1.007155,2016-04-16,Nulllinie,10.0
291,0,426080,1.154479,2016-12-11,Fueled: The Man They Called 'Pirate',10.0
292,0,431575,1.19713,2016-12-15,The Rogue One: A Star Wars Toy Story,10.0
293,16,427409,1.019022,2016-07-01,Once Upon a Line,10.0
294,878,418602,1.013837,2016-09-29,No Tomorrow - A TURBO KID Tale,10.0
295,18,430399,1.023694,2016-10-30,Journey of a Hero,10.0
296,80,432514,1.040001,2016-12-04,The Deleted,10.0
297,18,432590,1.068115,2016-12-31,Panarzo and the Good Ol' Days,10.0
298,10402,433177,1.030226,2016-12-02,Emma - Adesso Tour,10.0
299,18,410129,1.041169,2016-01-01,The Apostle Peter: Redemption,10.0
300,18,405446,1.016289,2016-08-19,The Human Surge,10.0
301,878,421359,1.030704,2016-12-04,Alice and the Last Lottery,10.0
302,10402,417955,1.0197,2016-09-23,Joe Bonamassa: Live at the Greek Theatre,10.0
303,18,427796,1.013645,2016-06-10,Royal Shakespeare Company: Hamlet,10.0
304,36,423664,1.01167,2016-01-01,Plutocracy II: Solidarity Forever,10.0
305,53,447415,1.014895,2016-08-01,Meshes of an Autumn Afternoon,10.0
306,53,448619,1.008796,2016-04-30,49:5ive,10.0
307,35,444224,1.035294,2016-12-01,Tommy Tiernan Out Of The Whirlwind,10.0
308,18,435407,1.065435,2016-07-11,King Lear,10.0
309,35,444691,1.025221,2016-10-14,Viva La Phil,10.0
310,99,446014,1.038069,2016-12-27,Inside - 80km du Mont-Blanc,10.0
311,99,445791,1.042138,2016-11-21,Celldweller: Start of an Empire,10.0
312,35,372689,1.010494,2016-05-27,Waiting,10.0
313,18,419192,1.026442,2016-12-31,McLaren,10.0
314,18,388921,1.014549,2016-03-24,Bach in Brazil,10.0
315,18,393421,1.058952,2016-05-20,Sarbjit,9.8
316,99,420714,1.394556,2016-11-06,Planet Earth II,9.6
317,18,391039,1.026145,2016-03-16,Life+1 Day,9.6
318,18,377153,1.031954,2016-01-11,A Lullaby to the Sorrowful Mystery,9.6
319,0,398464,1.00733,2016-05-13,Sodom: [2016] Rock Hard Festival,9.5
320,18,382336,1.062793,2016-02-17,Dongju: The Portrait of a Poet,9.5
321,10749,395339,1.007501,2016-03-11,Your Sweet Intoxication,9.5
322,16,428142,1.344879,2016-12-31,Fate/Grand Order: First Order,9.5
323,35,417503,1.425965,2016-10-12,Burnout 2,9.5
324,18,420574,1.021767,2016-10-09,Voice Male,9.5
325,0,401742,1.014469,2016-06-11,Hannah.,9.5
326,35,427567,1.079231,2016-11-23,Flock,9.5
327,10749,432167,1.018306,2016-09-16,#Selfie69,9.5
328,18,368942,1.424252,2016-10-07,A Quiet Passion,9.4
329,16,378064,1.796545,2016-09-17,A Silent Voice,9.3
330,80,414779,1.189724,2016-10-14,The River Thief,9.3
331,10751,381950,1.127505,2016-02-21,The Wonderful World of Disney: Disneyland 60,9.3
332,0,378538,1.006255,2016-01-20,"Modern Horror Movies - A Short ""Film""",9.3
333,99,392011,1.207574,2016-03-06,Kedi,9.3
334,0,394998,1.144339,2016-04-01,The Guest,9.3
335,35,428737,1.138042,2016-11-30,Uno: The Movie,9.2
336,99,366696,1.15975,2016-10-07,The Red Pill,9.2
337,18,427008,1.041846,2016-11-04,The Mountain II,9.2
338,99,404141,1.028956,2016-09-08,One More Time with Feeling,9.1
339,12,339526,1.330588,2016-02-02,The Land Before Time XIV: Journey of the Brave,9.0
340,99,390070,1.008551,2016-03-08,NFL Super Bowl 50 Champions: Denver Broncos,9.0
341,99,385823,1.007512,2016-03-08,Queen: A Night in Bohemia,9.0
342,10402,393806,1.018693,2016-04-17,Sia - Live at Coachella,9.0
343,0,397356,1.009234,2016-03-12,"Accidents, Blunders and Calamities",9.0
344,35,395932,1.021506,2016-05-03,The Bet,9.0
345,0,388273,1.076875,2016-03-18,No Letting Go,9.0
346,18,382653,1.015287,2016-02-12,Old Stone,9.0
347,99,389134,1.007683,2016-03-22,Coming Out,9.0
348,10770,371181,1.964894,2016-01-10,"Murder, She Baked: A Peach Cobbler Mystery",9.0
349,99,376386,1.056741,2016-11-04,All These Sleepless Nights,9.0
350,16,378108,1.159767,2016-10-15,In This Corner of the World,9.0
351,35,326035,1.132052,2016-12-31,Shooting Clerks,9.0
352,99,327746,1.211338,2016-11-17,Ear Buds: The Podcasting Documentary,9.0
